Date,Open,High,Low,Close,Adj Close,Volume
2016-04-12,29.299999,30.490900,29.200001,30.272699,28.395767,41030
2016-04-13,31.045500,31.263599,30.545500,30.645500,28.745457,181500
2016-04-14,30.745399,30.909100,29.581800,29.754601,27.909790,22773630
2016-04-15,30.027300,30.200001,29.718201,29.945400,28.088760,19145940
2016-04-18,29.563601,30.109100,28.927299,29.727301,27.884182,18538520
2016-04-19,30.000000,30.254601,29.581800,29.890900,28.037640,20790
2016-04-20,29.681801,29.681801,29.045500,29.336399,27.517519,11691350
2016-04-22,29.336399,29.354500,28.690901,28.799999,27.014376,14180870
2016-04-25,28.727301,29.018200,28.336399,28.545500,26.775658,8217660
2016-04-26,28.727301,29.545500,28.309099,29.536400,27.705118,9737530
2016-04-27,29.718201,30.609100,29.636400,30.545500,28.651657,15730660
2016-04-28,30.090900,31.090900,29.963600,30.336399,28.455517,14049090
2016-04-29,30.527300,30.763599,29.500000,29.881800,28.029102,21652730
2016-05-02,29.845400,29.972700,28.918200,29.045500,27.258339,14302310
2016-05-03,28.254601,28.263599,27.345400,27.372700,25.688465,24179100
2016-05-04,27.690901,28.127300,27.336399,28.045500,26.319866,15142820
2016-05-05,28.336399,28.518200,27.218201,27.627300,25.927401,11670670
2016-05-06,27.272699,27.890900,27.227301,27.636400,25.935938,9540190
2016-05-09,27.427299,28.009100,26.718201,27.809099,26.098017,17945730
2016-05-10,28.172701,29.554600,28.054600,29.554600,27.736113,16331480
2016-05-11,29.936399,30.227301,29.227301,29.372700,27.565409,15888290
2016-05-12,29.818199,30.036400,29.145500,29.663601,27.838408,15002900
2016-05-13,29.472700,29.663601,28.245399,28.545500,26.789104,14917760
2016-05-16,28.318199,28.854500,28.109100,28.109100,26.379555,9573520
2016-05-17,28.281799,28.663601,27.500000,27.509100,25.816473,11844030
2016-05-18,27.227301,28.472700,27.090900,27.936399,26.217482,16187600
2016-05-19,27.645500,27.872700,27.354500,27.700001,25.995630,11769560
2016-05-20,28.009100,28.136400,27.327299,27.345400,25.662844,9262110
2016-05-23,26.900000,27.700001,26.772699,27.436399,25.748245,13616460
2016-05-24,27.745399,28.154600,27.100000,27.409100,25.722626,7581970
2016-05-25,27.681801,27.927299,27.227301,27.281799,25.603157,9639410
2016-05-27,27.281799,27.690901,26.990900,27.009100,25.347239,7471310
2016-05-30,26.954500,27.263599,26.818199,27.000000,25.338697,2806430
2016-05-31,26.890900,27.127300,26.154600,26.409100,24.784153,35365220
2016-06-01,26.427299,26.945400,26.163601,26.790899,25.156755,12052700
2016-06-02,26.854500,27.272699,26.400000,27.190901,25.532356,12633390
2016-06-03,27.427299,27.527300,26.909100,27.163601,25.506716,8338990
2016-06-06,27.272699,27.354500,26.636400,26.900000,25.259199,7501010
2016-06-07,26.818199,27.427299,26.572701,27.336399,25.668978,9825970
2016-06-08,27.490900,28.045500,27.445400,27.754601,26.061672,12298220
2016-06-09,27.645500,27.836399,27.309099,27.690901,26.001858,8844220
2016-06-10,27.363600,27.500000,26.272699,26.272699,24.670156,15701290
2016-06-13,26.181801,26.527300,25.918200,26.390900,24.781153,9148920
2016-06-14,26.418200,26.845400,25.790899,26.009100,24.422636,17797890
2016-06-15,26.072701,26.500000,25.536400,25.881800,24.303106,23088560
2016-06-16,25.645500,26.554600,25.463600,26.354500,24.746969,15605700
2016-06-17,26.627300,26.909100,26.190901,26.290899,24.687250,17248330
2016-06-20,26.709101,27.072701,26.536400,26.727301,25.097033,16902270
2016-06-21,26.227301,26.718201,26.027300,26.718201,25.088488,15448620
2016-06-22,26.681801,27.036400,26.154600,26.254601,24.653160,14018730
2016-06-23,26.536400,27.363600,26.345400,27.272699,25.609163,12054790
2016-06-24,26.363600,26.799999,26.081800,26.318199,24.712879,19493980
2016-06-27,26.418200,26.472700,25.318199,25.436399,23.884871,15646290
2016-06-28,25.936399,26.390900,25.827299,26.327299,24.721426,14054150
2016-06-29,26.718201,27.045500,26.509100,26.918200,25.276287,14861220
2016-06-30,26.872700,27.745399,26.763599,27.545500,25.865322,23106160
2016-07-01,27.645500,28.172701,27.272699,28.100000,26.400381,21826090
2016-07-04,28.254601,28.381800,27.918200,28.081800,26.383276,4049320
2016-07-05,27.818199,28.036400,27.636400,27.881800,26.195372,7752470
2016-07-06,27.636400,28.072701,27.318199,27.990900,26.297874,8312810
2016-07-07,28.136400,28.681801,27.818199,28.272699,26.562628,10195020
